family	decimalLatitude	decimalLongitude
Boraginaceae	43.620077	-110.794373
Geraniaceae	43.620077	-110.794373
Ranunculaceae	43.620077	-110.794373
Juglandaceae	34.131531	-118.534054
Rosaceae	34.132167	-118.409
Rosaceae	34.122712	-118.408735
Rosaceae	34.120367	-118.408692
Asteraceae	34.120358	-118.409014
Apiaceae	34.120367	-118.408692
Onagraceae	34.121193	-118.409228
Euphorbiaceae	34.120358	-118.409014
Solanaceae	34.120358	-118.409014
Caprifoliaceae	34.120367	-118.408692
Betulaceae	42.43658	-71.340343
Balsaminaceae	42.43658	-71.340343
Ericaceae	42.439969	-71.33691
Solanaceae	34.734008	-118.392267
Fouquieriaceae	35.038063	-114.351442
Pinaceae	44.111682	-72.936798
Ranunculaceae	32.922059	-116.520094
Equisetaceae	32.976489	-116.581904
Polygonaceae	33.060517	-117.033678
Pinaceae	35.854639	-121.388181
Asteraceae	32.368123	-92.009035
Lamiaceae	34.176447	-118.47343
Asteraceae	34.176234	-118.473001
Rosaceae	34.176447	-118.47343
Anacardiaceae	34.119769	-118.330853
Cactaceae	34.119769	-118.330853
Lamiaceae	34.119769	-118.330853
Pinaceae	43.443333	-72.940333
Ericaceae	43.796872	-110.679016
Ericaceae	43.796872	-110.679016
Phrymaceae	43.703052	-110.671414
Solanaceae	38.575833	-121.422833
Polygonaceae	38.116444	-122.943622
Asteraceae	34.140289	-118.57688
Polygonaceae	34.140289	-118.57688
Rosaceae	34.130314	-118.55263
Rhamnaceae	34.140289	-118.57688
Brassicaceae	34.140289	-118.57688
Lamiaceae	34.140289	-118.57688
Asteraceae	35.984498	-79.060492
Poaceae	37.436692	-122.104897
Apiaceae	41.999394	-87.77815
Caryophyllaceae	41.999394	-87.77815
Rubiaceae	41.999394	-87.77815
Apiaceae	41.999394	-87.77815
Boraginaceae	41.999394	-87.77815
Cyperaceae	41.999394	-87.77815
Violaceae	41.999394	-87.77815
Asteraceae	42.140556	-87.831643
Orobanchaceae	42.048496	-87.859445
Gentianaceae	42.140556	-87.831643
Polygonaceae	33.094686	-116.998915
